headers_ID,ID,name,description,releasedate,discontinueddate,price,currency_code,height,width,depth,quantity,unitofmeasure
1,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,USD,10.5,8.2,3.5,100,CM
1,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,EUR,12.0,9.0,4.0,50,CM
1,3,Product C,High-quality product C,2023-01-20,2024-01-20,199.99,COP,15.0,10.0,5.0,25,CM
2,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,MXN,10.5,8.2,3.5,100,CM
2,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,USD,12.0,9.0,4.0,50,CM
3,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,EUR,10.5,8.2,3.5,100,CM
3,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,COP,12.0,9.0,4.0,50,CM
3,3,Product C,High-quality product C,2023-01-20,2024-01-20,199.99,MXN,15.0,10.0,5.0,25,CM
3,4,Product D,High-quality product D,2023-02-05,2024-02-05,79.99,USD,8.0,6.0,2.5,200,CM
4,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,EUR,10.5,8.2,3.5,100,CM
4,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,MXN,12.0,9.0,4.0,50,CM
4,3,Product C,High-quality product C,2023-01-20,2024-01-20,199.99,USD,15.0,10.0,5.0,25,CM
5,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,COP,10.5,8.2,3.5,100,CM
5,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,EUR,12.0,9.0,4.0,50,CM
6,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,MXN,10.5,8.2,3.5,100,CM
6,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,USD,12.0,9.0,4.0,50,CM
6,3,Product C,High-quality product C,2023-01-20,2024-01-20,199.99,COP,15.0,10.0,5.0,25,CM
7,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,EUR,10.5,8.2,3.5,100,CM
7,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,MXN,12.0,9.0,4.0,50,CM
7,3,Product C,High-quality product C,2023-01-20,2024-01-20,199.99,USD,15.0,10.0,5.0,25,CM
7,4,Product D,High-quality product D,2023-02-05,2024-02-05,79.99,COP,8.0,6.0,2.5,200,CM
8,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,USD,10.5,8.2,3.5,100,CM
8,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,EUR,12.0,9.0,4.0,50,CM
9,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,MXN,10.5,8.2,3.5,100,CM
9,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,COP,12.0,9.0,4.0,50,CM
9,3,Product C,High-quality product C,2023-01-20,2024-01-20,199.99,USD,15.0,10.0,5.0,25,CM
10,1,Product A,High-quality product A,2023-01-10,2024-01-10,99.99,EUR,10.5,8.2,3.5,100,CM
10,2,Product B,High-quality product B,2023-01-15,2024-01-15,149.99,MXN,12.0,9.0,4.0,50,CM
10,3,Product C,High-quality product C,2023-01-20,2024-01-20,199.99,COP,15.0,10.0,5.0,25,CM
10,4,Product D,High-quality product D,2023-02-05,2024-02-05,79.99,USD,8.0,6.0,2.5,200,CM
